id,signal_id,symbol,signal_bar_utc,scan_time_utc,entry_price_planned,entry_price_actual,sl_price,tp_price,qty_contracts,leveraged_notional,confidence,funding_rate_at_entry,oi_delta_at_entry,exit_price,exit_reason,exit_time_utc,bars_held,hours_held,gross_pnl_pct,gross_pnl_usd,entry_fee,exit_fee,fees_total,funding_events,funding_total,slippage_pct,slippage_usd,max_adverse_excursion_pct,max_favorable_excursion_pct,net_pnl_pct,net_pnl_usd,risk_reward_actual,sharpe_contribution,vs_backtest_expectation,status,notes,created_at,updated_at,margin_required,open_fee,close_fee,cumulative_funding,leverage,side,funding_cost,liquidation_price,maintenance_margin,last_funding_settlement_utc,mark_price_at_entry,sl_original,atr_at_entry,entry_rsi,entry_adx,entry_session,entry_strategy,entry_regime,calibrated_prob,bybit_order_id,bybit_qty,bybit_entry_price,bybit_sl_price,bybit_tp_price,bybit_status,bybit_close_price,bybit_pnl_usd,bybit_pnl_pct,bybit_account_balance,bybit_risk_pct,bybit_dollar_risk,bybit_close_time,bybit_close_reason
11,11,XRPUSDT,2026-07-17 09:15:00,2026-07-17 09:35:00,1.08720000,1.08720000,1.07750000,1.10330000,1839.0000,7997.44,78,-0.0000339600,-12.9330,1.07650000,SL_HIT,2026-07-17 13:01:36.096394,,3.44,-0.9842,-19.68,1.0996,1.0888,2.4600,1,0.2716,0.1000,7.9974,,,-4.4192,-22.14,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 09:35:08.545592,2026-07-17 13:01:36.096394,500.94,0.00,0.00,0.00,4.00,LONG,0,0.82020000,9.9968,,,,0.00320000,68.72,37.98,london,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
25,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:51:13,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:51:21.807803,2026-07-17 12:56:28.882677,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
26,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:56:21,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:56:29.739395,2026-07-17 13:01:39.592193,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
38,38,SOLUSDT,2026-07-18 19:00:00,2026-07-18 19:18:56,75.27000000,75.27000000,75.04419000,76.37360000,26.5000,7978.62,77,0.0000313700,1.5910,76.39000000,TP_HIT,2026-07-19 02:35:39.392166,,7.28,1.4880,29.68,1.0971,1.1134,2.3981,2,0.1876,0.1000,7.9786,,,5.4590,27.28,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-18 19:19:05.434801,2026-07-19 02:35:39.392166,499.76,0.00,0.00,0.00,4.00,LONG,0,56.78750000,9.9733,2026-07-19 00:00:00+00,,,0.22070000,68.00,67.20,overlap,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
8,8,SOLUSDT,2026-07-17 03:30:00,2026-07-17 03:50:34,75.22000000,75.22000000,75.44566000,74.08000000,26.5000,7973.32,70,-0.0000480400,-1.4770,73.95000000,TP_HIT,2026-07-17 13:07:06.027777,,9.27,1.6884,33.65,1.0963,1.0778,2.4621,2,0.2880,0.1000,7.9733,,,6.2457,31.19,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 03:50:40.506281,2026-07-17 13:07:06.027777,499.43,0.00,0.00,0.00,4.00,SHORT,0,93.69030000,9.9666,2026-07-17 08:00:00+00,,,0.28500000,50.48,36.68,asian,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
27,13,BTCUSDT,2026-07-17 12:45:00,2026-07-17 13:01:29,63114.10000000,63114.10000000,62760.29290000,63703.77860000,0.0310,7826.15,78,0.0000000000,0.0000,62758.80000000,SL_HIT,2026-07-17 13:34:36.501395,,0.55,-0.5629,-11.01,1.0761,1.0700,2.1461,1,0.0000,0.1000,0.0000,,,-2.6847,-13.16,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 13:01:40.915917,2026-07-17 13:34:36.501395,490.21,0.00,0.00,0.00,4.00,LONG,0,47616.43270000,9.7827,,,,,,,london,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
28,28,BTCUSDT,2026-07-17 13:30:00,2026-07-17 13:37:25,62669.60000000,62669.60000000,63102.56430000,62236.63570000,0.0310,7771.03,52,-0.0000118400,6.8470,63168.20000000,SL_HIT,2026-07-17 14:00:36.736023,,0.38,-0.7956,-15.46,1.0685,1.0770,2.2377,1,0.0922,0.1000,7.7849,,,-3.6351,-17.69,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 13:37:30.965597,2026-07-17 14:00:36.736023,486.76,0.00,0.00,0.00,4.00,SHORT,0,78058.12030000,9.7138,,,,132.62860000,38.59,28.46,ny_open,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
35,35,BTCUSDT,2026-07-18 13:00:00,2026-07-18 13:18:52,63980.40000000,63980.40000000,64262.03570000,63698.76430000,0.0310,7933.57,80,0.0000294200,-5.8970,64265.10000000,SL_HIT,2026-07-18 16:57:16.242983,,3.64,-0.4450,-8.83,1.0909,1.0957,2.4785,2,0.2919,0.1000,7.9336,,,-2.2748,-11.30,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-18 13:19:01.715193,2026-07-18 16:57:16.242983,496.94,0.00,0.00,0.00,4.00,SHORT,0,79690.78720000,9.9170,2026-07-18 16:00:00+00,,,62.58570000,53.01,37.62,ny_open,trend_following,VOLATILE,0.5000,,,,,,PENDING,,,,,,,,
29,29,ETHUSDT,2026-07-17 13:30:00,2026-07-17 13:42:31,1807.56000000,1807.56000000,1837.23110000,1777.88890000,1.1060,7996.65,72,0.0000117700,-4.0090,1838.39000000,SL_HIT,2026-07-17 16:48:39.23628,,3.10,-1.7056,-34.10,1.0995,1.1183,2.3357,2,0.1179,0.1000,7.9966,,,-7.2738,-36.43,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 13:42:36.759665,2026-07-17 16:48:39.23628,500.89,0.00,0.00,0.00,4.00,SHORT,0,2251.40640000,9.9958,2026-07-17 16:00:00+00,,,6.59360000,19.80,30.46,ny_open,trend_following,VOLATILE,0.5000,,,,,,PENDING,,,,,,,,
36,36,BTCUSDT,2026-07-18 17:30:00,2026-07-18 17:46:08,64322.20000000,64322.20000000,64129.23340000,64658.05710000,0.0310,7975.95,65,-0.0000062600,-3.8160,64686.00000000,TP_HIT,2026-07-18 20:22:48.872435,,2.61,0.5656,11.28,1.0967,1.1029,2.2495,1,0.0499,0.1000,7.9760,,,1.8071,9.03,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-18 17:46:16.259858,2026-07-18 20:22:48.872435,499.59,0.00,0.00,0.00,4.00,LONG,0,48527.88380000,9.9699,,,,83.96430000,67.95,29.23,overlap,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
