id,run_time,signal_id,symbol,dqs,gate_reached,gate_passed,gate_reason,final_action,created_at,checksum
261043,2026-07-21 11:29:32.205251+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:32.205251+00,
261042,2026-07-21 11:29:32.198387+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:32.198387+00,
261041,2026-07-21 11:29:32.187225+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:32.187225+00,
261040,2026-07-21 11:29:32.178366+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:32.178366+00,
261039,2026-07-21 11:29:32.158474+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:32.158474+00,
261038,2026-07-21 11:29:27.532149+00,,ETHUSDT,57,GATE_0C_REGIME,f,RegimeGate: DQS 57 < 60 required for MIXED,REJECTED,2026-07-21 11:29:27.532149+00,2693959d942afba9
261037,2026-07-21 11:29:27.52656+00,,BTCUSDT,69,GATE_4A_CORR,f,CorrelationGuard: BTCUSDT already has open position,REJECTED,2026-07-21 11:29:27.52656+00,b30be24f37f46e9a
261036,2026-07-21 11:29:27.492583+00,,BNBUSDT,79,GATE_4C_RISK,f,RiskBudgetLedger full,REJECTED,2026-07-21 11:29:27.492583+00,ea009754e08136aa
261035,2026-07-21 11:29:27.469288+00,,XRPUSDT,85,GATE_0_V7_KELLY_ZERO,f,Kelly=0 for DQS 85,REJECTED,2026-07-21 11:29:27.469288+00,3fb417504f281b64
261034,2026-07-21 11:29:17.205367+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:17.205367+00,
261033,2026-07-21 11:29:17.192445+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:17.192445+00,
261032,2026-07-21 11:29:17.182663+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:17.182663+00,
261031,2026-07-21 11:29:17.174318+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:17.174318+00,
261030,2026-07-21 11:29:17.165749+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:17.165749+00,
261029,2026-07-21 11:29:17.156852+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:17.156852+00,
261028,2026-07-21 11:29:02.187429+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:02.187429+00,
261027,2026-07-21 11:29:02.182118+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:02.182118+00,
261026,2026-07-21 11:29:02.179198+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:02.179198+00,
261025,2026-07-21 11:29:02.174315+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:02.174315+00,
261024,2026-07-21 11:29:02.169511+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:02.169511+00,
261023,2026-07-21 11:29:02.165362+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:29:02.165362+00,
261022,2026-07-21 11:28:47.178491+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:47.178491+00,
261021,2026-07-21 11:28:47.174298+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:47.174298+00,
261020,2026-07-21 11:28:47.166753+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:47.166753+00,
261019,2026-07-21 11:28:47.162716+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:47.162716+00,
261018,2026-07-21 11:28:47.158288+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:47.158288+00,
261017,2026-07-21 11:28:47.153846+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:47.153846+00,
261016,2026-07-21 11:28:32.177094+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:32.177094+00,
261015,2026-07-21 11:28:32.169911+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:32.169911+00,
261014,2026-07-21 11:28:32.165662+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:32.165662+00,
261013,2026-07-21 11:28:32.159194+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:32.159194+00,
261012,2026-07-21 11:28:32.153675+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:32.153675+00,
261011,2026-07-21 11:28:32.149356+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:32.149356+00,
261010,2026-07-21 11:28:17.171081+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:17.171081+00,
261009,2026-07-21 11:28:17.168404+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:17.168404+00,
261008,2026-07-21 11:28:17.162197+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:17.162197+00,
261007,2026-07-21 11:28:17.159244+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:17.159244+00,
261006,2026-07-21 11:28:17.152349+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:17.152349+00,
261005,2026-07-21 11:28:17.14672+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:17.14672+00,
261004,2026-07-21 11:28:02.204557+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:02.204557+00,
261003,2026-07-21 11:28:02.19532+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:02.19532+00,
261002,2026-07-21 11:28:02.181442+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:02.181442+00,
261001,2026-07-21 11:28:02.176606+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:02.176606+00,
261000,2026-07-21 11:28:02.165745+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:02.165745+00,
260999,2026-07-21 11:28:02.159855+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:28:02.159855+00,
260998,2026-07-21 11:27:47.184835+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:47.184835+00,
260997,2026-07-21 11:27:47.177344+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:47.177344+00,
260996,2026-07-21 11:27:47.169341+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:47.169341+00,
260995,2026-07-21 11:27:47.16149+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:47.16149+00,
260994,2026-07-21 11:27:47.153268+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:47.153268+00,
260993,2026-07-21 11:27:47.14786+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:47.14786+00,
260992,2026-07-21 11:27:32.182265+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:32.182265+00,
260991,2026-07-21 11:27:32.17734+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:32.17734+00,
260990,2026-07-21 11:27:32.170552+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:32.170552+00,
260989,2026-07-21 11:27:32.164526+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:27:32.164526+00,
