id,trade_id,symbol,event_type,event_time,price_at_event,balance_before,balance_after,margin_delta,fee_applied,pnl_delta,running_pnl,detail
15,10,BTCUSDT,CLOSE,2026-07-17 11:46:04.794993+00,63299.60000000,10077.9300,10546.3991,-487.4600,1.079258,-18.9909,,"{""netPct"": -3.8958803142821887, ""reason"": ""SL_HIT"", ""grossUsd"": -16.727599999999956, ""hoursHeld"": ""5.44""}"
14,8,SOLUSDT,FUNDING_SETTLEMENT,2026-07-17 08:00:01.424104+00,74.62000000,,,0.0000,0.094996,-0.0950,,"{""rate"": -0.00004804, ""sign"": -1, ""windowStart"": ""2026-07-17T08:00:00.000Z""}"
13,9,ETHUSDT,FUNDING_SETTLEMENT,2026-07-17 08:00:01.416533+00,1826.99000000,,,0.0000,0.090129,0.0901,,"{""rate"": 0.0000453, ""sign"": 1, ""windowStart"": ""2026-07-17T08:00:00.000Z""}"
12,10,BTCUSDT,FUNDING_SETTLEMENT,2026-07-17 08:00:01.406341+00,62798.20000000,,,0.0000,0.022796,0.0228,,"{""rate"": 0.00001171, ""sign"": 1, ""windowStart"": ""2026-07-17T08:00:00.000Z""}"
11,3,XRPUSDT,CLOSE,2026-07-17 06:47:45.230561+00,1.08550000,10086.6200,10580.1236,-501.0800,1.097332,-7.5764,,"{""netPct"": -1.5120204258801568, ""reason"": ""TIME_EXIT"", ""grossUsd"": -4.77880000000029, ""hoursHeld"": ""12.00""}"
10,7,BTCUSDT,CLOSE,2026-07-17 06:17:44.886435+00,62697.00000000,10062.5600,10580.1695,-493.5600,1.068984,24.0495,,"{""netPct"": 4.872663131128922, ""reason"": ""TP_HIT"", ""grossUsd"": 26.29419999999991, ""hoursHeld"": ""4.08""}"
9,6,ETHUSDT,CLOSE,2026-07-17 05:46:29.384143+00,1824.09000000,10025.0000,10563.4539,-500.8900,1.077490,37.5639,,"{""netPct"": 7.499425030845128, ""reason"": ""TP_HIT"", ""grossUsd"": 40.10316000000016, ""hoursHeld"": ""4.84""}"
8,4,SOLUSDT,CLOSE,2026-07-17 02:39:26.637786+00,74.79000000,9999.0800,10524.8772,-499.8800,1.081837,25.9172,,"{""netPct"": 5.184676852444551, ""reason"": ""TP_HIT"", ""grossUsd"": 28.14099999999982, ""hoursHeld"": ""4.55""}"
7,5,BTCUSDT,CLOSE,2026-07-17 02:11:26.221931+00,63418.10000000,9990.1200,10494.5182,-495.4400,1.081279,8.9582,,"{""netPct"": 1.8081344653237617, ""reason"": ""TP_HIT"", ""grossUsd"": 11.435900000000045, ""hoursHeld"": ""2.55""}"
6,3,XRPUSDT,FUNDING_SETTLEMENT,2026-07-17 00:00:09.374072+00,1.08640000,,,0.0000,0.199680,-0.1997,,"{""rate"": 0.0001, ""sign"": -1, ""windowStart"": ""2026-07-17T00:00:00.000Z""}"
5,4,SOLUSDT,FUNDING_SETTLEMENT,2026-07-17 00:00:09.363142+00,75.27000000,,,0.0000,0.008869,0.0089,,"{""rate"": 0.00000448, ""sign"": 1, ""windowStart"": ""2026-07-17T00:00:00.000Z""}"
4,5,BTCUSDT,FUNDING_SETTLEMENT,2026-07-17 00:00:09.348525+00,63804.40000000,,,0.0000,0.061771,0.0618,,"{""rate"": 0.00003123, ""sign"": 1, ""windowStart"": ""2026-07-17T00:00:00.000Z""}"
3,1,XRPUSDT,CLOSE,2026-07-15 19:39:15.163297+00,1.10430000,9999.3000,10494.0992,-500.8300,1.097509,-6.0308,,"{""netPct"": -1.2041628007507583, ""reason"": ""TIME_EXIT"", ""grossUsd"": -3.433300000000023, ""hoursHeld"": ""12.00""}"
2,1,XRPUSDT,FUNDING_SETTLEMENT,2026-07-15 16:00:12.40802+00,1.10430000,,,0.0000,0.199547,-0.1995,,"{""rate"": 0.0001, ""sign"": -1, ""windowStart"": ""2026-07-15T16:00:00.000Z""}"
1,1,XRPUSDT,FUNDING_SETTLEMENT,2026-07-15 08:00:07.270555+00,1.10430000,,,0.0000,0.199547,-0.1995,,"{""rate"": 0.0001, ""sign"": -1, ""windowStart"": ""2026-07-15T08:00:00.000Z""}"
