id,scan_time_utc,symbol,last_bar_utc,current_price,rsi_15m_now,adx_4h_now,atr_15m_now,session_now,h4_direction,h4_ema_trend,regime,signal_type,quality,gates_passed,sl_level,tp_level,notes,created_at,gate_session_ok,gate_adx_ok,gate_direction_ok,gate_rsi_ok,gate_bull_4h_ok
1159,2026-07-21 10:15:36.347868,BNBUSDT,2026-07-21 10:00:00,579.20000000,70.00,54.67,1.07142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,581.34290000,572.23577000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1008,2026-07-20 20:04:55.28569,XRPUSDT,2026-07-20 19:00:00,1.11470000,63.31,48.55,0.00372857,overlap,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.12400000,1.09230000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,f,t
935,2026-07-20 13:45:58.039268,BTCUSDT,2026-07-20 12:15:00,64700.10000000,72.60,27.93,173.99285714,overlap,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,64265.11790000,65744.05712000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,f,t,t,f,t
1081,2026-07-21 06:12:51.495859,BTCUSDT,2026-07-21 05:30:00,65559.10000000,76.01,37.25,127.78571429,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,65239.63570000,66325.81432000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,f,t,t,f,t
1163,2026-07-21 10:26:16.361252,BNBUSDT,2026-07-21 10:00:00,579.20000000,70.00,54.67,1.07142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,581.34290000,572.23577000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1160,2026-07-21 10:20:56.343522,BTCUSDT,2026-07-21 09:45:00,66307.00000000,78.42,87.02,143.97142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,65947.07140000,67386.78570000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,t,t,t,f,t
1012,2026-07-20 20:25:58.301849,XRPUSDT,2026-07-20 20:00:00,1.11400000,53.50,47.27,0.00365000,ny_late,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.12310000,1.09210000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1046,2026-07-20 22:22:09.828874,XRPUSDT,2026-07-20 21:00:00,1.11800000,60.47,38.15,0.00392143,ny_late,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.12780000,1.09450000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1068,2026-07-21 04:32:14.012848,XRPUSDT,2026-07-21 03:30:00,1.12280000,71.27,36.98,0.00376429,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.10870000,1.14090000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,f,t
1108,2026-07-21 07:48:08.636254,XRPUSDT,2026-07-21 06:45:00,1.13490000,72.59,67.38,0.00418571,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14850000,1.10227000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,t,t
